,Unnamed: 0_src,MSD_src,form_src,eng_gloss_src,gitksan_gloss_src,morph_src,paradigm_i,Unnamed: 0_tgt,MSD_tgt,form_tgt,eng_gloss_tgt,gitksan_gloss_tgt,morph_tgt
485,1022,ROOT;TR;1PL.II,kw'oodini'm,lost-CAUS2-TR-1PL.II,kw'oot-in-TR-1PL.II,kw'oot-in-i-'m??=?,739,1021,ROOT,kw'ootin,lost-CAUS2,kw'oot-in,kw'oot-in
488,521,ROOT;3PL.II,sdildiit,accompany-3PL.II,sdil-3PL.II,sdil-diit,216,519,ROOT;3.II,sdilt,accompany-3.II,sdil-3.II,sdil-t
489,521,ROOT;3PL.II,sdildiit,accompany-3PL.II,sdil-3PL.II,sdil-diit,216,518,ROOT,sdil,accompany,sdil,sdil
490,519,ROOT;3.II,sdilt,accompany-3.II,sdil-3.II,sdil-t,216,521,ROOT;3PL.II,sdildiit,accompany-3PL.II,sdil-3PL.II,sdil-diit
492,519,ROOT;3.II,sdilt,accompany-3.II,sdil-3.II,sdil-t,216,518,ROOT,sdil,accompany,sdil,sdil
493,518,ROOT,sdil,accompany,sdil,sdil,216,521,ROOT;3PL.II,sdildiit,accompany-3PL.II,sdil-3PL.II,sdil-diit
494,518,ROOT,sdil,accompany,sdil,sdil,216,519,ROOT;3.II,sdilt,accompany-3.II,sdil-3.II,sdil-t
497,1130,ROOT;3PL,saGaytGootda,together-heart-3PL,saGayt-Goot-3PL,sag̲ayt-g̲oot-da,860,1129,ROOT,saGaytGoot,together-heart,saGayt-Goot,sag̲ayt-g̲oot
498,1129,ROOT,saGaytGoot,together-heart,saGayt-Goot,sag̲ayt-g̲oot,860,1130,ROOT;3PL,saGaytGootda,together-heart-3PL,saGayt-Goot-3PL,sag̲ayt-g̲oot-da
501,1211,ROOT;3PL.II,t'ilXo'odiit,overseer.of-mind-3PL.II,t'il-Xoo-3PL.II,t'il-x̲oo-diit,933,1210,ROOT,t'ilXoo,overseer.of-mind,t'il-Xoo,t'il-x̲oo
502,1210,ROOT,t'ilXoo,overseer.of-mind,t'il-Xoo,t'il-x̲oo,933,1211,ROOT;3PL.II,t'ilXo'odiit,overseer.of-mind-3PL.II,t'il-Xoo-3PL.II,t'il-x̲oo-diit
505,651,ROOT;3.II,tK'esxwt,charge-3.II,tK'esxw-3.II,tk̲'esxw-t,324,652,ROOT;TR;3.II,tK'esxwit,charge-TR-3.II,tK'esxw-TR-3.II,tk̲'esxw-i-t
506,651,ROOT;3.II,tK'esxwt,charge-3.II,tK'esxw-3.II,tk̲'esxw-t,324,649,ROOT,tK'esxw,charge,tK'esxw,tk̲'esxw
507,652,ROOT;TR;3.II,tK'esxwit,charge-TR-3.II,tK'esxw-TR-3.II,tk̲'esxw-i-t,324,651,ROOT;3.II,tK'esxwt,charge-3.II,tK'esxw-3.II,tk̲'esxw-t
509,652,ROOT;TR;3.II,tK'esxwit,charge-TR-3.II,tK'esxw-TR-3.II,tk̲'esxw-i-t,324,649,ROOT,tK'esxw,charge,tK'esxw,tk̲'esxw
510,649,ROOT,tK'esxw,charge,tK'esxw,tk̲'esxw,324,651,ROOT;3.II,tK'esxwt,charge-3.II,tK'esxw-3.II,tk̲'esxw-t
511,649,ROOT,tK'esxw,charge,tK'esxw,tk̲'esxw,324,652,ROOT;TR;3.II,tK'esxwit,charge-TR-3.II,tK'esxw-TR-3.II,tk̲'esxw-i-t
514,224,ROOT;3PL.II,yukwdiit,busy-3PL.II,yukw-3PL.II,yukw-diit,69,223,ROOT;3.II,yukwt,busy-3.II,yukw-3.II,yukw-t
515,223,ROOT;3.II,yukwt,busy-3.II,yukw-3.II,yukw-t,69,224,ROOT;3PL.II,yukwdiit,busy-3PL.II,yukw-3PL.II,yukw-diit
518,461,ROOT;ATTR,'maXsim,pants-ATTR,'maXs-ATTR,'max̲s-m,183,462,ROOT;3.II,'maXst,pants-3.II,'maXs-3.II,'max̲s-t
519,462,ROOT;3.II,'maXst,pants-3.II,'maXs-3.II,'max̲s-t,183,461,ROOT;ATTR,'maXsim,pants-ATTR,'maXs-ATTR,'max̲s-m
522,569,ROOT,ubin,pregnant,ubin,ubin,271,570,ROOT;3.II,ubint,pregnant-3.II,ubin-3.II,ubin-t
523,570,ROOT;3.II,ubint,pregnant-3.II,ubin-3.II,ubin-t,271,569,ROOT,ubin,pregnant,ubin,ubin
526,1197,ROOT;1PL.II,daXgedi'm,firm-character-1PL.II,daX-get-1PL.II,dax̲-get-'m,919,1195,ROOT;ATTR,daXgadim,firm-character-ATTR,daX-get-ATTR,dax̲-gat-m
527,1197,ROOT;1PL.II,daXgedi'm,firm-character-1PL.II,daX-get-1PL.II,dax̲-get-'m,919,1194,ROOT,daXgat,firm-character,daX-get,dax̲-gat
528,1195,ROOT;ATTR,daXgadim,firm-character-ATTR,daX-get-ATTR,dax̲-gat-m,919,1197,ROOT;1PL.II,daXgedi'm,firm-character-1PL.II,daX-get-1PL.II,dax̲-get-'m
530,1195,ROOT;ATTR,daXgadim,firm-character-ATTR,daX-get-ATTR,dax̲-gat-m,919,1194,ROOT,daXgat,firm-character,daX-get,dax̲-gat
531,1194,ROOT,daXgat,firm-character,daX-get,dax̲-gat,919,1197,ROOT;1PL.II,daXgedi'm,firm-character-1PL.II,daX-get-1PL.II,dax̲-get-'m
532,1194,ROOT,daXgat,firm-character,daX-get,dax̲-gat,919,1195,ROOT;ATTR,daXgadim,firm-character-ATTR,daX-get-ATTR,dax̲-gat-m
535,950,ROOT,tK'a,skin,tK'a,tk̲'a,689,951,ROOT;3.II,tK'at,skin-3.II,tK'a-3.II,tk̲'a-t
536,951,ROOT;3.II,tK'at,skin-3.II,tK'a-3.II,tk̲'a-t,689,950,ROOT,tK'a,skin,tK'a,tk̲'a
539,664,ROOT;3.II,jayeehlt,trap-3.II,jayeehl-3.II,jayeehl-t,335,663,ROOT,jayeehl,trap,jayeehl,jayeehl
540,663,ROOT,jayeehl,trap,jayeehl,jayeehl,335,664,ROOT;3.II,jayeehlt,trap-3.II,jayeehl-3.II,jayeehl-t
543,176,ROOT;3.II,giihlt,lie.down-3.II,giihl-3.II,giihl-t,54,178,ROOT;PL;1PL.II,laahli'm,lie.down.PL-1PL.II,laahl.PL-1PL.II,laahl-'m
544,178,ROOT;PL;1PL.II,laahli'm,lie.down.PL-1PL.II,laahl.PL-1PL.II,laahl-'m,54,176,ROOT;3.II,giihlt,lie.down-3.II,giihl-3.II,giihl-t
547,541,ROOT;3.II,Getxwt,difficult-3.II,Getxw-3.II,g̲etxw-t,238,540,ROOT,Getxw,difficult,Getxw,g̲etxw
548,540,ROOT,Getxw,difficult,Getxw,g̲etxw,238,541,ROOT;3.II,Getxwt,difficult-3.II,Getxw-3.II,g̲etxw-t
551,1216,ROOT;3.II,hanwilaakwt,bad-do.something.to-3.II,han-wilaakw-3.II,han-wilaakw-t,939,1215,ROOT,hanwilaakw,bad-do.something.to,han-wilaakw,han-wilaakw
552,1215,ROOT,hanwilaakw,bad-do.something.to,han-wilaakw,han-wilaakw,939,1216,ROOT;3.II,hanwilaakwt,bad-do.something.to-3.II,han-wilaakw-3.II,han-wilaakw-t
555,1169,ROOT;3PL.II,ksimaasdiit,out-bark-3PL.II,ksi-maas-3PL.II,ksi-maas-diit,897,1168,ROOT,ksimaas,out-bar,ksi-maas,ksi-maas
556,1168,ROOT,ksimaas,out-bar,ksi-maas,ksi-maas,897,1169,ROOT;3PL.II,ksimaasdiit,out-bark-3PL.II,ksi-maas-3PL.II,ksi-maas-diit
559,983,ROOT;3PL.II,hedindiit,stand-CAUS2-3PL.II,hit-in-3PL.II,het-in-diit,707,985,ROOT;PL;3PL.II,lidindiit,stand.PL-CAUS2-3PL.II,_,lit-in-diit
560,985,ROOT;PL;3PL.II,lidindiit,stand.PL-CAUS2-3PL.II,_,lit-in-diit,707,983,ROOT;3PL.II,hedindiit,stand-CAUS2-3PL.II,hit-in-3PL.II,het-in-diit
563,790,ROOT,t'ipXoo'lt,seven,t'ipXoo'lt,t'ipx̲oo'lt,499,791,ROOT;SX,t'ipXoo'ldit,seven-SX,t'ipXoo'lt-SX,t'ipx̲oo'lt-it
564,791,ROOT;SX,t'ipXoo'ldit,seven-SX,t'ipXoo'lt-SX,t'ipx̲oo'lt-it,499,790,ROOT,t'ipXoo'lt,seven,t'ipXoo'lt,t'ipx̲oo'lt
567,516,ROOT;3PL.II,hahle'lsdiit,work-3PL.II,hahle'lst-3PL.II,hahle'ls-diit,215,517,ROOT;1SG.II,hahla'lsdi'y,work-1SG.II,hahle'lst-1SG.II,hahla'lst-'y
568,516,ROOT;3PL.II,hahle'lsdiit,work-3PL.II,hahle'lst-3PL.II,hahle'ls-diit,215,515,ROOT;1PL.II,hahla'lsdi'm,work-1PL.II,hahle'lst-1PL.II,hahla'lst-'m
569,516,ROOT;3PL.II,hahle'lsdiit,work-3PL.II,hahle'lst-3PL.II,hahle'ls-diit,215,513,ROOT;SX,hahle'lsit,work-SX,hahle'lst-SX,hahle'ls-it
570,517,ROOT;1SG.II,hahla'lsdi'y,work-1SG.II,hahle'lst-1SG.II,hahla'lst-'y,215,516,ROOT;3PL.II,hahle'lsdiit,work-3PL.II,hahle'lst-3PL.II,hahle'ls-diit
572,517,ROOT;1SG.II,hahla'lsdi'y,work-1SG.II,hahle'lst-1SG.II,hahla'lst-'y,215,515,ROOT;1PL.II,hahla'lsdi'm,work-1PL.II,hahle'lst-1PL.II,hahla'lst-'m
573,517,ROOT;1SG.II,hahla'lsdi'y,work-1SG.II,hahle'lst-1SG.II,hahla'lst-'y,215,513,ROOT;SX,hahle'lsit,work-SX,hahle'lst-SX,hahle'ls-it
574,515,ROOT;1PL.II,hahla'lsdi'm,work-1PL.II,hahle'lst-1PL.II,hahla'lst-'m,215,516,ROOT;3PL.II,hahle'lsdiit,work-3PL.II,hahle'lst-3PL.II,hahle'ls-diit
575,515,ROOT;1PL.II,hahla'lsdi'm,work-1PL.II,hahle'lst-1PL.II,hahla'lst-'m,215,517,ROOT;1SG.II,hahla'lsdi'y,work-1SG.II,hahle'lst-1SG.II,hahla'lst-'y
577,515,ROOT;1PL.II,hahla'lsdi'm,work-1PL.II,hahle'lst-1PL.II,hahla'lst-'m,215,513,ROOT;SX,hahle'lsit,work-SX,hahle'lst-SX,hahle'ls-it
578,513,ROOT;SX,hahle'lsit,work-SX,hahle'lst-SX,hahle'ls-it,215,516,ROOT;3PL.II,hahle'lsdiit,work-3PL.II,hahle'lst-3PL.II,hahle'ls-diit
579,513,ROOT;SX,hahle'lsit,work-SX,hahle'lst-SX,hahle'ls-it,215,517,ROOT;1SG.II,hahla'lsdi'y,work-1SG.II,hahle'lst-1SG.II,hahla'lst-'y
580,513,ROOT;SX,hahle'lsit,work-SX,hahle'lst-SX,hahle'ls-it,215,515,ROOT;1PL.II,hahla'lsdi'm,work-1PL.II,hahle'lst-1PL.II,hahla'lst-'m
583,384,ROOT,ts'in,enter,ts'in,ts'in,153,386,ROOT;1SG.II,ts'ini'y,enter-1SG.II,ts'in-1SG.II,ts'in-'y
584,386,ROOT;1SG.II,ts'ini'y,enter-1SG.II,ts'in-1SG.II,ts'in-'y,153,384,ROOT,ts'in,enter,ts'in,ts'in
587,610,ROOT,gimxdi,opp.gender.siblin,gimxdi,gimxdi,295,611,ROOT;3.II,gimxdit,opp.gender.sibling-3.II,gimxdi-3.II,gimxdi-t
588,611,ROOT;3.II,gimxdit,opp.gender.sibling-3.II,gimxdi-3.II,gimxdi-t,295,610,ROOT,gimxdi,opp.gender.siblin,gimxdi,gimxdi
591,908,ROOT,laK,fall.II,laK,lak̲,641,909,ROOT;PL,laXlaK,PL~fall.II,PL~laK,CVC~lak̲
592,909,ROOT;PL,laXlaK,PL~fall.II,PL~laK,CVC~lak̲,641,908,ROOT,laK,fall.II,laK,lak̲
595,797,ROOT;PL;SX,hal'olaXat,PL~fast.pace-SX,PL~olaX-SX,CVC~olax̲-it,510,796,ROOT,olaX,fast.pace,olaX,olax̲
596,796,ROOT,olaX,fast.pace,olaX,olax̲,510,797,ROOT;PL;SX,hal'olaXat,PL~fast.pace-SX,PL~olaX-SX,CVC~olax̲-it
599,533,ROOT;1SG.II,office'y,office-1SG.II,office-1SG.II,office-'y,228,532,ROOT,office,office,office,office
600,532,ROOT,office,office,office,office,228,533,ROOT;1SG.II,office'y,office-1SG.II,office-1SG.II,office-'y
603,1153,ROOT,ame,used.for-say,am-he,am-he,886,1154,ROOT;3.II,amet,used.for-say-3.II,am-he-3.II,am-he-t
604,1154,ROOT;3.II,amet,used.for-say-3.II,am-he-3.II,am-he-t,886,1153,ROOT,ame,used.for-say,am-he,am-he
607,431,ROOT;3PL.II,halaakwdiit,do.something.to-3PL.II,halaakw-3PL.II,halaakw-diit,170,430,ROOT,halaakw,do.something.to,halaakw,halaakw
608,430,ROOT,halaakw,do.something.to,halaakw,halaakw,170,431,ROOT;3PL.II,halaakwdiit,do.something.to-3PL.II,halaakw-3PL.II,halaakw-diit
611,1227,ROOT;3.II,luutK'alno'ot,in-against-hole-3.II,luu-tK'al-no'o-3.II,luu-tk̲'al-no'o-t,947,1226,ROOT,luutK'alno'o,in-against-hole,luu-tK'al-no'o,luu-tk̲'al-no'o
612,1226,ROOT,luutK'alno'o,in-against-hole,luu-tK'al-no'o,luu-tk̲'al-no'o,947,1227,ROOT;3.II,luutK'alno'ot,in-against-hole-3.II,luu-tK'al-no'o-3.II,luu-tk̲'al-no'o-t
615,468,ROOT,gwila,blanket,gwila,gwila,185,470,ROOT;PL;3PL.II,gwiiladiit,blanket.PL-3PL.II,_,gwiila-diit
616,470,ROOT;PL;3PL.II,gwiiladiit,blanket.PL-3PL.II,_,gwiila-diit,185,468,ROOT,gwila,blanket,gwila,gwila
619,1213,ROOT,hasbagyoo,upside.down-doc,hasba-gyoo,hasba-gyoo,934,1214,ROOT;3.II,hasbagyoot,upside.down-dock-3.II,hasba-gyoo-3.II,hasba-gyoo-t
620,1214,ROOT;3.II,hasbagyoot,upside.down-dock-3.II,hasba-gyoo-3.II,hasba-gyoo-t,934,1213,ROOT,hasbagyoo,upside.down-doc,hasba-gyoo,hasba-gyoo
623,823,ROOT;TR;1PL.II,ga'a'm,see.I-TR-1PL.II,ga'a-TR-1PL.II,ga'a-i-'m,554,816,ROOT,ga'a,see.I,ga'a,ga'a
624,823,ROOT;TR;1PL.II,ga'a'm,see.I-TR-1PL.II,ga'a-TR-1PL.II,ga'a-i-'m,554,818,ROOT;1PL.II,ga'a'm,see.I-1PL.II,ga'a-1PL.II,ga'a-'m
625,823,ROOT;TR;1PL.II,ga'a'm,see.I-TR-1PL.II,ga'a-TR-1PL.II,ga'a-i-'m,554,822,ROOT;TR;1SG.II,ga'a'y,see.I-TR-1SG.II,ga'a-TR-1SG.II,ga'a-i-'y
626,823,ROOT;TR;1PL.II,ga'a'm,see.I-TR-1PL.II,ga'a-TR-1PL.II,ga'a-i-'m,554,820,ROOT;1SG.II,ga'a'y,see.I-1SG.II,ga'a-1SG.II,ga'a-'y
627,823,ROOT;TR;1PL.II,ga'a'm,see.I-TR-1PL.II,ga'a-TR-1PL.II,ga'a-i-'m,554,821,ROOT;TR;3.II,ga'at,see.I-TR-3.II,ga'a-TR-3.II,ga'a-i-t
628,816,ROOT,ga'a,see.I,ga'a,ga'a,554,823,ROOT;TR;1PL.II,ga'a'm,see.I-TR-1PL.II,ga'a-TR-1PL.II,ga'a-i-'m
630,816,ROOT,ga'a,see.I,ga'a,ga'a,554,818,ROOT;1PL.II,ga'a'm,see.I-1PL.II,ga'a-1PL.II,ga'a-'m
631,816,ROOT,ga'a,see.I,ga'a,ga'a,554,822,ROOT;TR;1SG.II,ga'a'y,see.I-TR-1SG.II,ga'a-TR-1SG.II,ga'a-i-'y
632,816,ROOT,ga'a,see.I,ga'a,ga'a,554,820,ROOT;1SG.II,ga'a'y,see.I-1SG.II,ga'a-1SG.II,ga'a-'y
633,816,ROOT,ga'a,see.I,ga'a,ga'a,554,821,ROOT;TR;3.II,ga'at,see.I-TR-3.II,ga'a-TR-3.II,ga'a-i-t
634,818,ROOT;1PL.II,ga'a'm,see.I-1PL.II,ga'a-1PL.II,ga'a-'m,554,823,ROOT;TR;1PL.II,ga'a'm,see.I-TR-1PL.II,ga'a-TR-1PL.II,ga'a-i-'m
635,818,ROOT;1PL.II,ga'a'm,see.I-1PL.II,ga'a-1PL.II,ga'a-'m,554,816,ROOT,ga'a,see.I,ga'a,ga'a
637,818,ROOT;1PL.II,ga'a'm,see.I-1PL.II,ga'a-1PL.II,ga'a-'m,554,822,ROOT;TR;1SG.II,ga'a'y,see.I-TR-1SG.II,ga'a-TR-1SG.II,ga'a-i-'y
638,818,ROOT;1PL.II,ga'a'm,see.I-1PL.II,ga'a-1PL.II,ga'a-'m,554,820,ROOT;1SG.II,ga'a'y,see.I-1SG.II,ga'a-1SG.II,ga'a-'y
639,818,ROOT;1PL.II,ga'a'm,see.I-1PL.II,ga'a-1PL.II,ga'a-'m,554,821,ROOT;TR;3.II,ga'at,see.I-TR-3.II,ga'a-TR-3.II,ga'a-i-t
640,822,ROOT;TR;1SG.II,ga'a'y,see.I-TR-1SG.II,ga'a-TR-1SG.II,ga'a-i-'y,554,823,ROOT;TR;1PL.II,ga'a'm,see.I-TR-1PL.II,ga'a-TR-1PL.II,ga'a-i-'m
641,822,ROOT;TR;1SG.II,ga'a'y,see.I-TR-1SG.II,ga'a-TR-1SG.II,ga'a-i-'y,554,816,ROOT,ga'a,see.I,ga'a,ga'a
642,822,ROOT;TR;1SG.II,ga'a'y,see.I-TR-1SG.II,ga'a-TR-1SG.II,ga'a-i-'y,554,818,ROOT;1PL.II,ga'a'm,see.I-1PL.II,ga'a-1PL.II,ga'a-'m
644,822,ROOT;TR;1SG.II,ga'a'y,see.I-TR-1SG.II,ga'a-TR-1SG.II,ga'a-i-'y,554,820,ROOT;1SG.II,ga'a'y,see.I-1SG.II,ga'a-1SG.II,ga'a-'y
645,822,ROOT;TR;1SG.II,ga'a'y,see.I-TR-1SG.II,ga'a-TR-1SG.II,ga'a-i-'y,554,821,ROOT;TR;3.II,ga'at,see.I-TR-3.II,ga'a-TR-3.II,ga'a-i-t
646,820,ROOT;1SG.II,ga'a'y,see.I-1SG.II,ga'a-1SG.II,ga'a-'y,554,823,ROOT;TR;1PL.II,ga'a'm,see.I-TR-1PL.II,ga'a-TR-1PL.II,ga'a-i-'m
647,820,ROOT;1SG.II,ga'a'y,see.I-1SG.II,ga'a-1SG.II,ga'a-'y,554,816,ROOT,ga'a,see.I,ga'a,ga'a
648,820,ROOT;1SG.II,ga'a'y,see.I-1SG.II,ga'a-1SG.II,ga'a-'y,554,818,ROOT;1PL.II,ga'a'm,see.I-1PL.II,ga'a-1PL.II,ga'a-'m
649,820,ROOT;1SG.II,ga'a'y,see.I-1SG.II,ga'a-1SG.II,ga'a-'y,554,822,ROOT;TR;1SG.II,ga'a'y,see.I-TR-1SG.II,ga'a-TR-1SG.II,ga'a-i-'y
651,820,ROOT;1SG.II,ga'a'y,see.I-1SG.II,ga'a-1SG.II,ga'a-'y,554,821,ROOT;TR;3.II,ga'at,see.I-TR-3.II,ga'a-TR-3.II,ga'a-i-t
652,821,ROOT;TR;3.II,ga'at,see.I-TR-3.II,ga'a-TR-3.II,ga'a-i-t,554,823,ROOT;TR;1PL.II,ga'a'm,see.I-TR-1PL.II,ga'a-TR-1PL.II,ga'a-i-'m
653,821,ROOT;TR;3.II,ga'at,see.I-TR-3.II,ga'a-TR-3.II,ga'a-i-t,554,816,ROOT,ga'a,see.I,ga'a,ga'a
654,821,ROOT;TR;3.II,ga'at,see.I-TR-3.II,ga'a-TR-3.II,ga'a-i-t,554,818,ROOT;1PL.II,ga'a'm,see.I-1PL.II,ga'a-1PL.II,ga'a-'m
655,821,ROOT;TR;3.II,ga'at,see.I-TR-3.II,ga'a-TR-3.II,ga'a-i-t,554,822,ROOT;TR;1SG.II,ga'a'y,see.I-TR-1SG.II,ga'a-TR-1SG.II,ga'a-i-'y
656,821,ROOT;TR;3.II,ga'at,see.I-TR-3.II,ga'a-TR-3.II,ga'a-i-t,554,820,ROOT;1SG.II,ga'a'y,see.I-1SG.II,ga'a-1SG.II,ga'a-'y
659,838,ROOT,laX'ni,hear.II,laX'ni,lax̲'ni,566,839,ROOT;3PL.II,laX'nidiit,hear.II-3PL.II,laX'ni-3PL.II,lax̲'ni-diit
660,839,ROOT;3PL.II,laX'nidiit,hear.II-3PL.II,laX'ni-3PL.II,lax̲'ni-diit,566,838,ROOT,laX'ni,hear.II,laX'ni,lax̲'ni
663,704,ROOT;PL;3PL.II,al'alGaldiit,PL~watch-3PL.II,PL~'alGal-3PL.II,[']al~'alg̲al-diit,366,701,ROOT,alGal,watch,'alGal,alg̲al
664,701,ROOT,alGal,watch,'alGal,alg̲al,366,704,ROOT;PL;3PL.II,al'alGaldiit,PL~watch-3PL.II,PL~'alGal-3PL.II,[']al~'alg̲al-diit
667,476,ROOT;3.II,jat,eat.up-3.II,jehl-3.II,jahl-t,189,478,ROOT;PL;TR;3.II,jisjahlit,PL~eat.up-TR-3.II,PL~jehl-TR-3.II,CVC~jahl-i-t
668,476,ROOT;3.II,jat,eat.up-3.II,jehl-3.II,jahl-t,189,477,ROOT;TR;3.II,jehlit,eat.up-TR-3.II,jehl-TR-3.II,jehl-i-t
669,478,ROOT;PL;TR;3.II,jisjahlit,PL~eat.up-TR-3.II,PL~jehl-TR-3.II,CVC~jahl-i-t,189,476,ROOT;3.II,jat,eat.up-3.II,jehl-3.II,jahl-t
671,478,ROOT;PL;TR;3.II,jisjahlit,PL~eat.up-TR-3.II,PL~jehl-TR-3.II,CVC~jahl-i-t,189,477,ROOT;TR;3.II,jehlit,eat.up-TR-3.II,jehl-TR-3.II,jehl-i-t
672,477,ROOT;TR;3.II,jehlit,eat.up-TR-3.II,jehl-TR-3.II,jehl-i-t,189,476,ROOT;3.II,jat,eat.up-3.II,jehl-3.II,jahl-t
673,477,ROOT;TR;3.II,jehlit,eat.up-TR-3.II,jehl-TR-3.II,jehl-i-t,189,478,ROOT;PL;TR;3.II,jisjahlit,PL~eat.up-TR-3.II,PL~jehl-TR-3.II,CVC~jahl-i-t
676,1289,ROOT;1SG.II,xsa'aKxwi'y,out-attain.II-1SG.II,xsa-'aKxw-1SG.II,xsa-'ak̲xw-'y,1036,1288,ROOT,xsa'aKxw,out-attain.II,xsa-'aKxw,xsa-'ak̲xw
677,1288,ROOT,xsa'aKxw,out-attain.II,xsa-'aKxw,xsa-'ak̲xw,1036,1289,ROOT;1SG.II,xsa'aKxwi'y,out-attain.II-1SG.II,xsa-'aKxw-1SG.II,xsa-'ak̲xw-'y
680,563,ROOT,iksde,tasty,iksde,iksde,266,564,ROOT;3.II,iksdet,tasty-3.II,iksde-3.II,iksde-t
681,564,ROOT;3.II,iksdet,tasty-3.II,iksde-3.II,iksde-t,266,563,ROOT,iksde,tasty,iksde,iksde
684,154,ROOT,ky'ul,one.HUM,ky'ul,ky'ul,46,157,ROOT;3PL.II,ky'uldiit,one.HUM-3PL.II,ky'ul-3PL.II,ky'ul-diit
685,154,ROOT,ky'ul,one.HUM,ky'ul,ky'ul,46,156,ROOT;3.II,ky'ult,one.HUM-3.II,ky'ul-3.II,ky'ul-t
686,157,ROOT;3PL.II,ky'uldiit,one.HUM-3PL.II,ky'ul-3PL.II,ky'ul-diit,46,154,ROOT,ky'ul,one.HUM,ky'ul,ky'ul
688,157,ROOT;3PL.II,ky'uldiit,one.HUM-3PL.II,ky'ul-3PL.II,ky'ul-diit,46,156,ROOT;3.II,ky'ult,one.HUM-3.II,ky'ul-3.II,ky'ul-t
689,156,ROOT;3.II,ky'ult,one.HUM-3.II,ky'ul-3.II,ky'ul-t,46,154,ROOT,ky'ul,one.HUM,ky'ul,ky'ul
690,156,ROOT;3.II,ky'ult,one.HUM-3.II,ky'ul-3.II,ky'ul-t,46,157,ROOT;3PL.II,ky'uldiit,one.HUM-3PL.II,ky'ul-3PL.II,ky'ul-diit
693,128,ROOT;PL,doX,lie.on.PL,doX.PL,dox̲,38,133,ROOT;PL;3.II,doXt,lie.on.PL-3.II,doX.PL-3.II,dox̲-t
694,128,ROOT;PL,doX,lie.on.PL,doX.PL,dox̲,38,132,ROOT;3PL.II,sgidiit,lie.on-3PL.II,sgi-3PL.II,sgi-diit
695,133,ROOT;PL;3.II,doXt,lie.on.PL-3.II,doX.PL-3.II,dox̲-t,38,128,ROOT;PL,doX,lie.on.PL,doX.PL,dox̲
697,133,ROOT;PL;3.II,doXt,lie.on.PL-3.II,doX.PL-3.II,dox̲-t,38,132,ROOT;3PL.II,sgidiit,lie.on-3PL.II,sgi-3PL.II,sgi-diit
698,132,ROOT;3PL.II,sgidiit,lie.on-3PL.II,sgi-3PL.II,sgi-diit,38,128,ROOT;PL,doX,lie.on.PL,doX.PL,dox̲
699,132,ROOT;3PL.II,sgidiit,lie.on-3PL.II,sgi-3PL.II,sgi-diit,38,133,ROOT;PL;3.II,doXt,lie.on.PL-3.II,doX.PL-3.II,dox̲-t
702,923,ROOT,waatxw,cry,waatxw,waatxw,660,924,ROOT;3.II,waatxwt,cry-3.II,waatxw-3.II,waatxw-t
703,924,ROOT;3.II,waatxwt,cry-3.II,waatxw-3.II,waatxw-t,660,923,ROOT,waatxw,cry,waatxw,waatxw
706,892,ROOT,aKhlxw,attain.I,aKhlxw,ak̲hlxw,624,893,ROOT;3.II,aKhlxwt,attain.I-3.II,aKhlxw-3.II,ak̲hlxw-t
707,893,ROOT;3.II,aKhlxwt,attain.I-3.II,aKhlxw-3.II,ak̲hlxw-t,624,892,ROOT,aKhlxw,attain.I,aKhlxw,ak̲hlxw
710,994,ROOT;ATTR,andabim,NMLZ-measure-ATTR,an-dep-ATTR,an-dap-m,718,993,ROOT,andap,NMLZ-measure,an-dep,an-dap
711,993,ROOT,andap,NMLZ-measure,an-dep,an-dap,718,994,ROOT;ATTR,andabim,NMLZ-measure-ATTR,an-dep-ATTR,an-dap-m
714,803,ROOT;3.II,gutXa'oot,cross.cousin-3.II,gutXa'oo-3.II,gutx̲a'oo-t,518,802,ROOT,gutXa'oo,cross.cousin,gutXa'oo,gutx̲a'oo
715,802,ROOT,gutXa'oo,cross.cousin,gutXa'oo,gutx̲a'oo,518,803,ROOT;3.II,gutXa'oot,cross.cousin-3.II,gutXa'oo-3.II,gutx̲a'oo-t
718,722,PL;ROOT,la'oo'y,PL-ancient,PL-oo'y,li-oo'y,387,721,ROOT,oo'y,ancient,oo'y,oo'y
719,721,ROOT,oo'y,ancient,oo'y,oo'y,387,722,PL;ROOT,la'oo'y,PL-ancient,PL-oo'y,li-oo'y
722,78,ROOT;ATTR,t'isim,large-ATTR,t'is-ATTR,t'is-m,22,77,ROOT;SX,t'isit,large-SX,t'is-SX,t'is-it
723,77,ROOT;SX,t'isit,large-SX,t'is-SX,t'is-it,22,78,ROOT;ATTR,t'isim,large-ATTR,t'is-ATTR,t'is-m
726,594,ROOT;3PL.II,gidaXdiit,ask-3PL.II,gidaX-3PL.II,gidax̲-diit,284,595,ROOT;TR;3.II,gidaXat,ask-TR-3.II,gidaX-TR-3.II,gidax̲-i-t
727,595,ROOT;TR;3.II,gidaXat,ask-TR-3.II,gidaX-TR-3.II,gidax̲-i-t,284,594,ROOT;3PL.II,gidaXdiit,ask-3PL.II,gidaX-3PL.II,gidax̲-diit
730,949,ROOT;3.II,hapt,cover-3.II,hap-3.II,hap-t,684,948,ROOT,hap,cover,hap,hap
731,948,ROOT,hap,cover,hap,hap,684,949,ROOT;3.II,hapt,cover-3.II,hap-3.II,hap-t
